Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Afghanistan,49.96201777,50.24961474,50.325,46.452461,46.74700774,50.9214,55.3775,57.2475,61.14346154,67.86608577
Angola,76.70614275,75.03335417,79.32816667,91.90572034,93.93475,95.46795542,96.51827948,98.30241686,120.0607017,163.6564341
Albania,90.42789383,83.8946041,94.97811982,103.9364434,100.8949547,108.1846446,105.6686734,105.4792341,125.9608304,124.1408715
Andorra,,,,,,,,,,
Arab World,,,,,,,,,,
United Arab Emirates,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725
Argentina,3.095648849,3.14416456,3.710106831,3.896295154,4.110139576,4.53693436,5.459352665,8.075275993,9.233185525,14.75817509
Armenia,342.0791162,305.9694003,363.2832856,373.6604667,372.5008824,401.7639756,409.6257493,415.9197892,477.9183066,480.4881508
American Samoa,,,,,,,,,,
Antigua and Barbuda,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Australia,1.1950725,1.192178333,1.28218881,1.090159486,0.9694632015,0.9658010307,1.035843097,1.109363293,1.331090262,1.345213976
Austria,,,,,,,,,,
Azerbaijan,0.8581238082,0.8216195789,0.8037833333,0.80265,0.7896863889,0.7856453495,0.7845410753,0.7843475,1.024563819,1.595721573
Burundi,1081.869683,1185.690833,1230.179167,1230.748333,1261.073333,1442.505625,1555.090833,1546.686667,1571.898333,1654.626667
Belgium,,,,,,,,,,
Benin,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.6593512,593.0777302
Burkina Faso,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704
Bangladesh,68.874875,68.598275,69.03906667,69.64929167,74.1524,81.86265833,78.103235,77.64140833,77.94690833,78.46809167
Bulgaria,1.42905,1.337116667,1.406691667,1.477391667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.768041667
Bahrain,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Bahamas, The",1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,1.429002742,1.33519568,1.407891238,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187,1.763491647,1.768139024
Belarus,0.2146078333,0.21363975,0.2793049218,0.297851,0.4974633333,0.8336898333,0.88800525,1.02241025,1.592598833,1.989562833
Belize,2,2,2,2,2,2,2,2,2,2
Bermuda,1,1,1,1,1,1,1,1,1,1
Bolivia,7.851245161,7.238320699,7.02,7.016666667,6.9369625,6.91,6.91,6.91,6.91,6.91
Brazil,1.947058333,1.833766667,1.999428173,1.759226711,1.672828755,1.953068611,2.156089151,2.352951963,3.326904383,3.491313422
Barbados,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,1.507101667,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123,1.374910845,1.381346877
Bhutan,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281
Botswana,6.139392377,6.826856923,7.155137626,6.793607994,6.838232134,6.838232134,8.398925514,8.976086739,10.12900239,10.90115454
Central African Republic,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704
Canada,1.074099167,1.06704,1.143100557,1.030162783,0.9895306919,0.9991883097,1.02979657,1.106104944,1.279097896,1.325399636
Central Europe and the Baltics,,,,,,,,,,
Switzerland,1.200365833,1.08309,1.088141696,1.042905646,0.8880420282,0.9376844807,0.9269035478,0.9161510473,0.962381328,0.9852382038
Channel Islands,,,,,,,,,,
Chile,522.4641667,522.4610358,560.8598948,510.2491667,483.6675,486.4713034,495.2728776,570.3482161,654.1240843,676.957736
China,7.6075325,6.948655,6.831416052,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094,6.227488673,6.644477829
Cote d'Ivoire,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704
Cameroon,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704
"Congo, Dem. Rep.",516.7498917,559.2925083,809.7858333,905.9134583,919.4913,919.7550167,919.5659074,925.2262825,925.9849613,1010.302757
"Congo, Rep.",479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704
