Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,25921.02605,27546.89939,24631.43486,24271.94042,25324.72036,,,,,
Afghanistan,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,631.7449706,612.0696514,569.5779229,561.7787463
Angola,2878.837144,3868.578883,3347.84485,3529.053482,4299.012889,4598.249988,4804.616884,4709.312024,3695.793748,3308.700233
Albania,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728,3934.895394,4124.98239
Andorra,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,36988.62203
Arab World,4937.598218,6115.243747,5158.250506,5917.512227,6855.527287,7343.121318,7439.379401,7452.040484,6435.525509,6162.347272
United Arab Emirates,42672.61323,45758.90554,33072.57517,35049.14832,40462.31209,42112.23565,43350.64268,44449.74035,39101.74689,37622.20746
Argentina,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13467.10236,12440.32098
Armenia,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3614.688357
American Samoa,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11865.96323,11834.74523
Antigua and Barbuda,14350.91889,14797.36842,13082.28166,12174.69786,11931.20411,12517.55793,12194.60876,12946.98694,13659.14791,14462.17628
Australia,40991.98289,49664.68504,42742.99898,51874.08048,62245.10029,67677.63477,67792.30386,62214.60912,56554.03876,49927.81951
Austria,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50719.38828,51733.48192,44255.58336,44676.34583
Azerbaijan,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.335728,7875.756953,7891.299776,5500.310382,3876.936433
Burundi,170.7999005,196.2472628,204.9446502,231.1943256,260.4799073,265.2856051,282.7555252,312.7489794,300.6765569,285.7274421
Belgium,44403.7669,48424.5756,44880.57302,44380.17663,47702.81189,44740.58325,46582.66955,47379.17392,40375.38864,41236.26659
