Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,74.4827561,74.62768293,74.77114634,74.91063415,75.04765854,75.18319512,75.31973171,75.45678049,75.59434146
Afghanistan,59.70885366,60.25673171,60.76460976,61.23546341,61.6742439,62.09297561,62.50160976,62.90268293,63.29819512
Angola,55.0475122,56.13929268,57.181,58.14112195,58.9912439,59.71843902,60.3217561,60.80673171,61.18934146
Albania,75.79492683,76.07265854,76.39487805,76.74790244,77.10846341,77.44826829,77.74709756,77.99839024,78.20314634
Andorra,,,,,,,,,
Arab World,69.44569144,69.6716377,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949,71.02843854
United Arab Emirates,76.14834146,76.34041463,76.52243902,76.69487805,76.85978049,77.01914634,77.175,77.32936585,77.4842439
Argentina,75.01156098,75.17129268,75.33109756,75.49202439,75.65356098,75.8147561,75.97456098,76.134,76.29302439
Armenia,72.5932439,72.72590244,72.8987561,73.10929268,73.34597561,73.58621951,73.81192683,74.01958537,74.20619512
American Samoa,,,,,,,,,
Antigua and Barbuda,74.80473171,74.98219512,75.15153659,75.31329268,75.46953659,75.62180488,75.77365854,75.92409756,76.07563415
Australia,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.45121951
Austria,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.84390244
Azerbaijan,69.70621951,70.171,70.5784878,70.91860976,71.18963415,71.40568293,71.58141463,71.7247561,71.84519512
Burundi,53.46646341,53.90187805,54.36202439,54.837,55.31441463,55.78287805,56.2345122,56.66331707,57.06934146
Belgium,79.78292683,79.6804878,79.98292683,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,81.28780488
Benin,58.18897561,58.59070732,58.94680488,59.25926829,59.53660976,59.79785366,60.0565122,60.31812195,60.58468293
Burkina Faso,54.75565854,55.53570732,56.29487805,57.01468293,57.68112195,58.29582927,58.86036585,59.37529268,59.84465854
Bangladesh,68.87390244,69.33368293,69.79117073,70.24204878,70.68056098,71.10090244,71.4977561,71.87165854,72.22160976
Bulgaria,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.46585366
Bahrain,75.71456098,75.86326829,76.01002439,76.15531707,76.29963415,76.44295122,76.58521951,76.72546341,76.86519512
"Bahamas, The",74.06146341,74.25095122,74.42841463,74.59690244,74.75792683,74.91397561,75.06653659,75.21763415,75.36878049
Bosnia and Herzegovina,75.3595122,75.498,75.64141463,75.79373171,75.95346341,76.12014634,76.29034146,76.46356098,76.64029268
Belarus,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024
Belize,69.4434878,69.57970732,69.68356098,69.76202439,69.83017073,69.90865854,70.01307317,70.1475122,70.31097561
Bermuda,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512
Bolivia,64.69363415,65.27282927,65.84656098,66.40580488,66.94160976,67.44695122,67.91736585,68.35031707,68.74980488
Brazil,72.70973171,73.06865854,73.42309756,73.76956098,74.1005122,74.41043902,74.69634146,74.9582439,75.19912195
Barbados,74.35741463,74.52170732,74.6854878,74.84880488,75.01014634,75.17002439,75.32795122,75.48390244,75.63790244
Brunei Darussalam,76.61934146,76.6957561,76.73670732,76.75419512,76.76719512,76.79519512,76.85121951,76.94173171,77.0667561
Bhutan,66.20039024,66.77765854,67.2994878,67.77429268,68.21095122,68.62490244,69.02507317,69.41797561,69.80712195
Botswana,55.20960976,56.81946341,58.35465854,59.78092683,61.09809756,62.3472439,63.55065854,64.69439024,65.75109756
Central African Republic,45.52646341,46.16317073,46.83492683,47.53270732,48.25697561,49.01214634,49.79565854,50.59104878,51.37785366
Canada,80.54390244,80.69512195,80.94634146,81.19756098,81.44878049,81.5835122,81.77204878,81.95304878,82.12902439
Central Europe and the Baltics,74.25238333,74.57753902,74.9318257,75.29534873,75.88847488,75.9934886,76.35516299,76.68547642,77.0269071
Switzerland,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,83.19756098
Channel Islands,79.41541463,79.6524878,79.87114634,80.07134146,80.25302439,80.42212195,80.58112195,80.735,80.88526829
Chile,77.923,78.05002439,78.1765122,78.30892683,78.4527561,78.60953659,78.78026829,78.9644878,79.16068293
China,74.59407317,74.83992683,75.06343902,75.26609756,75.45382927,75.62804878,75.79517073,75.95719512,76.11709756
Cote d'Ivoire,48.78029268,49.35146341,49.91136585,50.45070732,50.97234146,51.49017073,52.01604878,52.54707317,53.0782439
Cameroon,54.00790244,54.51063415,54.97263415,55.40114634,55.80892683,56.21768293,56.64197561,57.08780488,57.5575122
"Congo, Dem. Rep.",55.05392683,55.70602439,56.31260976,56.87017073,57.38117073,57.85807317,58.31239024,58.74860976,59.17321951
"Congo, Rep.",57.09446341,58.30080488,59.43214634,60.45260976,61.3502439,62.14907317,62.87009756,63.51531707,64.09073171
Colombia,72.70753659,72.91021951,73.1015122,73.28290244,73.45836585,73.63078049,73.80365854,73.97895122,74.15619512
Comoros,60.71936585,61.07934146,61.4602439,61.84707317,62.22480488,62.58146341,62.90907317,63.20214634,63.46068293
Cabo Verde,71.69141463,71.70668293,71.72839024,71.77453659,71.85417073,71.96282927,72.09653659,72.25431707,72.43517073
Costa Rica,78.32885366,78.45529268,78.58919512,78.73263415,78.88773171,79.0545122,79.23156098,79.41685366,79.60890244
Caribbean small states,71.57113456,71.80228804,72.02570117,72.23522802,72.42698876,72.60250775,72.76324049,72.91101405,73.04810113
Cuba,78.44970732,78.65153659,78.8115122,78.93665854,79.04053659,79.14212195,79.25634146,79.38970732,79.54370732
Curacao,75.36341463,75.3097561,76.15609756,,77.47317073,,,77.82439024,
Cayman Islands,,,,,,,,,
Cyprus,78.8695122,79.02904878,79.202,79.38495122,79.57302439,79.76178049,79.94478049,80.12204878,80.29104878
Czech Republic,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,79.47317073
Germany,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,81.0902439
Djibouti,58.83187805,59.32841463,59.84885366,60.36673171,60.85458537,61.29546341,61.67736585,61.99431707,62.24982927
Dominica,,,,,,,,,
Denmark,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,81.1
Dominican Republic,72.12885366,72.33836585,72.54439024,72.74487805,72.94134146,73.13529268,73.3272439,73.51619512,73.70368293
Algeria,73.64270732,74.02531707,74.36785366,74.66978049,74.93756098,75.18119512,75.41217073,75.63502439,75.85529268
East Asia & Pacific (excluding high income),72.84951298,73.0791793,73.29302018,73.49142801,73.67786798,73.85301007,74.02096864,74.18315026,74.34183078
Early-demographic dividend,66.84743896,67.22026197,67.59412376,67.96134772,68.31537718,68.6518555,68.96753962,69.25956118,69.52779013
East Asia & Pacific,73.77415388,73.9964901,74.22364835,74.40240092,74.56343354,74.75706322,74.93611876,75.10255302,75.25604166
Europe & Central Asia (excluding high income),69.63226537,69.9237441,70.5178809,70.81947315,71.38026786,71.70260198,72.09297156,72.29512938,72.46689195
Europe & Central Asia,74.98461502,75.24121523,75.63329431,75.92165795,76.43333756,76.57856007,76.89108021,77.20707533,77.3948729
Ecuador,74.49656098,74.67039024,74.84868293,75.03339024,75.2294878,75.43297561,75.64339024,75.85973171,76.0815122
"Egypt, Arab Rep.",69.77943902,69.96309756,70.15078049,70.34141463,70.53490244,70.72819512,70.9202439,71.10956098,71.29565854
Euro area,80.09975244,80.3027801,80.50339184,80.74663191,81.23265042,81.22695026,81.51281991,81.9348744,82.07022116
Eritrea,60.23012195,60.93770732,61.58712195,62.17585366,62.71192683,63.21292683,63.69490244,64.16339024,64.62439024
Spain,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,83.3804878
Estonia,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.13170732
Ethiopia,58.45002439,59.56112195,60.62219512,61.60185366,62.47663415,63.24858537,63.92417073,64.50690244,65.00829268
European Union,78.96821226,79.1830529,79.44111941,79.72474962,80.23976651,80.25109831,80.53255827,80.92222407,81.1263925
Fragile and conflict affected situations,58.98984074,59.42891472,59.85070682,60.25124564,60.63189366,61.00012177,61.35995106,61.71015899,62.04935535
Finland,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.38536585
Fiji,68.84590244,69.02702439,69.20885366,69.39085366,69.5695122,69.74373171,69.91143902,70.07112195,70.22426829
France,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,82.67073171
Faroe Islands,79.83658537,80.13658537,80.38780488,80.63902439,80.93902439,81.1902439,81.44146341,81.48536585,81.63414634
"Micronesia, Fed. Sts.",68.21834146,68.34219512,68.45241463,68.55056098,68.64221951,68.73397561,68.83085366,68.93490244,69.04663415
Gabon,60.92212195,61.55280488,62.20502439,62.85653659,63.48868293,64.09534146,64.67087805,65.20302439,65.68441463
United Kingdom,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,81.60487805
Georgia,72.52507317,72.50312195,72.48973171,72.49804878,72.53617073,72.60363415,72.69846341,72.82063415,72.96612195
Ghana,59.64387805,60.10602439,60.52363415,60.89373171,61.22078049,61.52431707,61.82031707,62.11378049,62.4072439
Gibraltar,,,,,,,,,
Guinea,54.7575122,55.50158537,56.16356098,56.7432439,57.26065854,57.76112195,58.27960976,58.82490244,59.39895122
"Gambia, The",58.68456098,59.02295122,59.3435122,59.64573171,59.93056098,60.20139024,60.46217073,60.71385366,60.95743902
Guinea-Bissau,53.94780488,54.28668293,54.63819512,55.00053659,55.37365854,55.75778049,56.14965854,56.54821951,56.95039024
Equatorial Guinea,54.88297561,55.22187805,55.58497561,55.95895122,56.32602439,56.66834146,56.978,57.25553659,57.50839024
Greece,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.43658537,81.58780488
Grenada,71.8467561,72.09014634,72.33407317,72.572,72.79641463,73.00329268,73.18909756,73.35334146,73.49953659
Greenland,69.98268293,70.21341463,70.46780488,70.85707317,71.06243902,71.29902439,71.8304878,,
Guatemala,70.30558537,70.65104878,71.01260976,71.38621951,71.75885366,72.11846341,72.45402439,72.76202439,73.04297561
Guam,77.32104878,77.6102439,77.89902439,78.18285366,78.45656098,78.71439024,78.95363415,79.17373171,79.37763415
Guyana,65.75382927,65.84660976,65.93682927,66.02641463,66.11878049,66.21587805,66.31765854,66.42614634,66.53936585
High income,79.23508611,79.38339134,79.66030739,79.84218174,80.08194663,80.19796792,80.3808347,80.61483831,80.74130969
"Hong Kong SAR, China",82.32682927,82.37560976,82.77560976,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878
Honduras,71.85926829,72.04102439,72.21829268,72.39504878,72.57278049,72.754,72.93970732,73.12990244,73.32460976
Heavily indebted poor countries (HIPC),56.85666492,57.59680361,58.30389402,58.96646682,59.57860688,60.14651181,60.67593748,61.16724084,61.6223619
Croatia,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976
Haiti,59.98241463,60.40653659,60.83378049,61.25319512,61.6552439,62.03436585,62.388,62.71314634,63.01078049
Hungary,73.15121951,73.70243902,73.90487805,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,75.96097561
IBRD only,70.42523948,70.71417844,71.02548525,71.30696304,71.60250652,71.86153187,72.11589743,72.34335635,72.55544022
IDA & IBRD total,67.94414797,68.27134744,68.61169322,68.92197931,69.23511107,69.51357594,69.78210044,70.02402922,70.24842028
IDA total,59.62749611,60.18825967,60.72666354,61.23310031,61.7024605,62.13760262,62.54378434,62.92237258,63.27507351
IDA blend,57.93395003,58.44613306,58.94992619,59.4382176,59.89242819,60.30603558,60.68853703,61.03881152,61.35832808
Indonesia,67.56973171,67.76829268,67.96314634,68.15273171,68.33741463,68.51758537,68.69512195,68.8684878,69.03863415
IDA only,60.4595565,61.04404418,61.59966225,62.11612449,62.59424284,63.04081966,63.45961686,63.8531217,64.22299397
Isle of Man,,,,,,,,,
India,65.3897561,65.81065854,66.23017073,66.63992683,67.03165854,67.40007317,67.73934146,68.05002439,68.33260976
Not classified,,,,,,,,,
Ireland,79.64146341,80.09512195,80.1902439,80.74390244,80.74634146,80.84634146,81,81.34878049,81.50243902
"Iran, Islamic Rep.",72.66321951,73.07309756,73.50919512,73.95619512,74.39460976,74.80282927,75.16541463,75.47819512,75.74263415
Iraq,68.19653659,68.21431707,68.31246341,68.48217073,68.70473171,68.9507561,69.19546341,69.42560976,69.63460976
Iceland,81.45365854,81.6097561,81.75121951,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,82.86097561
Israel,80.50487805,80.95121951,81.40487805,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,82.05121951
Italy,81.43414634,81.48536585,81.63658537,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,83.4902439
Jamaica,74.00878049,74.30043902,74.58253659,74.8464878,75.0852439,75.29982927,75.49026829,75.65853659,75.80668293
Jordan,72.96219512,73.12229268,73.28085366,73.43839024,73.59390244,73.74690244,73.89692683,74.04495122,74.19102439
Japan,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.84365854
Kazakhstan,66.50487805,67.02195122,68.42926829,68.29536585,68.98,69.61,70.45,71.62,72
Kenya,58.73907317,60.22856098,61.63163415,62.88814634,63.96058537,64.85992683,65.60307317,66.19414634,66.64565854
Kyrgyz Republic,67.89512195,68.45121951,69.10243902,69.3,69.60243902,70.00243902,70.20243902,70.40243902,70.65121951
Cambodia,64.56634146,65.2584878,65.87597561,66.41968293,66.89739024,67.32739024,67.72802439,68.1062439,68.47204878
Kiribati,64.98070732,65.07239024,65.169,65.27756098,65.40265854,65.54385366,65.70017073,65.87060976,66.05219512
St. Kitts and Nevis,,,,,,,,,
"Korea, Rep.",79.3495122,79.83268293,80.29731707,80.55121951,80.96707317,81.21341463,81.70512195,82.15585366,82.15585366
Kuwait,73.82514634,73.91887805,74.02143902,74.13285366,74.25165854,74.37441463,74.49868293,74.6234878,74.74682927
Latin America & Caribbean (excluding high income),73.26252817,73.51496587,73.76332564,74.00789206,74.24702414,74.47922841,74.70349166,74.92018456,75.13039619
